year,month,week,Sub_Metering_1,Sub_Metering_2,Sub_Metering_3
2007,1,1,3.87,9.4,41.831
2007,1,2,12.708,22.973,82.342
2007,1,3,15.788,18.718,83.9
2007,1,4,18.355,15.745,71.471
2007,1,5,5.712,12.415,50.645
2007,2,5,5.916,5.328,41.252
2007,2,6,16.068,17.314,73.751
2007,2,7,10.865,17.205,72.81
2007,2,8,14.735,23.43,74.074
2007,2,9,0,1.346,8.387
2007,3,9,0,0.974,8.546
2007,3,10,15.682,36.506,65.379
2007,3,11,14.362,18.815,64.997
2007,3,12,18.397,24.336,77.727
2007,3,13,12.317,24.044,71.586
2007,4,14,15.672,20.77,84.187
2007,4,15,2.876,4.481,23.224
2007,4,16,12.147,5.527,37.374
2007,4,17,10.18,7.23,45.713
2007,4,18,0.716,0.438,1.131
2007,5,18,11.079,7.244,33.418
2007,5,19,16.388,15.641,59.748
2007,5,20,17.968,17.519,51.67
2007,5,21,18.695,17.414,47.128
2007,5,22,12.105,14.333,36.562
2007,6,22,3.971,1.74,16.219
2007,6,23,19.019,22.931,52.114
2007,6,24,15.397,14.289,43.379
2007,6,25,8.314,12.963,32.581
2007,6,26,12.971,18.058,45.322
2007,7,27,11.528,18.83,35.382
2007,7,28,8.634,11.361,42.441
2007,7,29,6.628,6.414,33.928
2007,7,30,12.985,19.129,35.282
2007,7,31,3.277,0,7.94
2007,8,31,3.575,0.398,33.326
2007,8,32,4.455,11.355,59.066
2007,8,33,3.711,2.825,52.801
2007,8,34,13.647,23.846,44.873
2007,8,35,10.446,11.218,35.211
2007,9,35,2.905,0.582,8.781
2007,9,36,13.558,18.037,53.438
2007,9,37,6.722,13.419,44.861
2007,9,38,16.787,13.239,52.951
2007,9,39,10.935,29.487,55.455
2007,9,40,2.351,0.509,8.949
2007,10,40,9.758,20.863,53.373
2007,10,41,11.49,22.126,56.358
2007,10,42,9.88,19.946,68.534
2007,10,43,12.09,17.832,62.235
2007,10,44,0,7.318,17.685
2007,11,44,1.346,2.7,16.172
2007,11,45,12.3,15.801,65.31
2007,11,46,13.205,17.134,83.377
2007,11,47,15.052,17.452,74.887
2007,11,48,8.92,20.6,59.944
2007,12,48,9.356,0.338,16.781
2007,12,49,14.008,19.713,75.813
2007,12,50,11.269,15.778,73.924
2007,12,51,13.681,15.996,84.642
2007,12,52,21.972,24.052,83.707
2007,12,53,3.804,7.05,26.489
2008,1,1,8.911,14.74,63.247
2008,1,2,19.314,7.613,67.517
2008,1,3,14.199,18.282,70.236
2008,1,4,15.543,15.252,71.675
2008,1,5,3.794,6.989,39.489
2008,2,5,8.902,7.487,31.959
2008,2,6,9.925,16.451,68.657
2008,2,7,12.224,12.399,70.092
2008,2,8,9.141,15.311,69.36
2008,2,9,0,5.037,16.928
2008,3,9,0,6.484,5.289
2008,3,10,13.604,18.999,45.287
2008,3,11,13.587,15.199,68.694
2008,3,12,16.381,19.027,75.352
2008,3,13,18.245,19.15,75.661
2008,3,14,0.751,0.36,7.254
2008,4,14,8.913,15.018,65.899
2008,4,15,19.367,21.128,85.235
2008,4,16,11.752,15.031,76.602
2008,4,17,5.131,13.117,50.022
2008,4,18,2.459,6.563,19.972
2008,5,18,6.306,4.568,22.925
2008,5,19,16.801,9.253,72.04
2008,5,20,12.401,16.268,67.409
2008,5,21,10.178,15.378,67.887
2008,5,22,7.398,13.421,59.783
2008,6,22,1.906,0.579,10.258
2008,6,23,13.078,16.566,64.665
2008,6,24,16.944,20.061,64.527
2008,6,25,22.613,15.63,79.089
2008,6,26,14.187,10.143,64.566
2008,6,27,0,0.521,6.717
2008,7,27,10.615,15.373,46.869
2008,7,28,12.468,9.492,54.071
2008,7,29,12.579,10.835,51.104
2008,7,30,5.999,4.106,50.239
2008,7,31,5.652,3.747,24.774
2008,8,31,0.586,3.025,13.726
2008,8,32,1.231,7.66,21.899
2008,8,33,0,3.171,12.308
2008,8,34,0,3.013,11.235
2008,8,35,2.056,6.199,19.269
2008,9,36,15.607,12.746,64.531
2008,9,37,10.103,9.819,62.738
2008,9,38,13.121,7.942,69.062
2008,9,39,11.031,13.414,71.835
2008,9,40,1.994,0.745,18.319
2008,10,40,12.022,10.397,47.856
2008,10,41,8.787,16.3,72.96
2008,10,42,8.696,22.429,64.292
2008,10,43,11.808,12.574,66.739
2008,10,44,3.3,1.775,24.174
2008,11,44,0,0.658,3.82
2008,11,45,18.04,21.751,52.875
2008,11,46,15.399,11.613,75.19
2008,11,47,9.613,14.191,66.155
2008,11,48,15.015,7.645,81.675
2008,12,49,11.437,7.572,73.663
2008,12,50,12.475,10.274,72.948
2008,12,51,10.146,16.982,82.516
2008,12,52,8.074,3.951,57.408
2008,12,53,2.975,0.677,21.711
2009,1,1,12.326,16.05,48.749
2009,1,2,15.751,14.57,75.678
2009,1,3,20.063,14.371,87.988
2009,1,4,14.31,13.869,66.454
2009,1,5,12.2,14.124,49.652
2009,2,5,5.193,1.085,34.478
2009,2,6,17.494,13.378,94.957
2009,2,7,9.939,15.039,76.645
2009,2,8,11.082,15.005,54.134
2009,2,9,3.391,6.174,36.521
2009,3,9,13.897,3.311,29.058
2009,3,10,13.667,9.837,75.494
2009,3,11,11.342,17.604,83.639
2009,3,12,12.431,6.168,67.606
2009,3,13,13.308,11.428,73.416
2009,4,14,11.824,8.28,71.062
2009,4,15,20.467,19.723,81.091
2009,4,16,9.93,12.144,60.149
2009,4,17,10.215,9.647,70.214
2009,4,18,2.07,2.856,23.295
2009,5,18,7.245,9.967,52.019
2009,5,19,11.204,11.45,69.505
2009,5,20,10.574,14.683,70.931
2009,5,21,6.202,8.213,72.512
2009,5,22,7.822,5.781,47.303
2009,6,22,3.312,0.966,19.885
2009,6,23,8.224,7.503,66.935
2009,6,24,5.919,7.245,46.446
2009,6,25,4.018,6.327,60.339
2009,6,26,10.412,7.748,66.949
2009,7,27,9.502,9.96,52.817
2009,7,28,4.272,9.312,43.425
2009,7,29,1.792,6.295,39.596
2009,7,30,0.926,9.468,33.387
2009,7,31,1.734,7.383,18.724
2009,8,31,0,2.793,17.485
2009,8,32,2.841,10.177,34.291
2009,8,33,9.892,10.439,38.005
2009,8,34,12.863,8.103,49.714
2009,8,35,7.884,6.786,52.586
2009,9,35,0.543,0.743,6.072
2009,9,36,10.915,8.356,59.344
2009,9,37,20.765,8.046,69.426
2009,9,38,11.025,12.396,77.988
2009,9,39,7.927,8.571,74.534
2009,9,40,0.478,7.873,8.479
2009,10,40,9.26,6.858,60.598
2009,10,41,13.426,13.588,74.56
2009,10,42,11.696,9.854,79.42
2009,10,43,18.515,14.847,78.298
2009,10,44,5.361,9.107,38.411
2009,11,44,5.86,4.842,27.802
2009,11,45,11.551,8.335,78.711
2009,11,46,12.861,14.67,79.079
2009,11,47,21.814,15.898,83.003
2009,11,48,8.359,9.728,66.937
2009,12,48,0,0.354,10.816
2009,12,49,12.252,13.04,83.352
2009,12,50,13.695,11.257,80.822
2009,12,51,8.033,7.097,81.661
2009,12,52,18.537,16.782,95.021
2009,12,53,5.284,4.96,31.224
